,Ticker,Company Name,Country,GICS Sector,fullTimeEmployees,Original Currency,ReportDate_2024,Average Rank,Sum of Rank,Years Appeared,Adjusted Score,2016_Ranking,2017_Ranking,2018_Ranking,2019_Ranking,2020_Ranking,2021_Ranking,2022_Ranking,2023_Ranking,2024_Ranking,2025_Ranking,TotalRevenue_2021,TotalRevenue_2022,TotalRevenue_2023,TotalRevenue_2024,TotalRevenueIncr_2022,TotalRevenueIncr_2023,TotalRevenueIncr_2024,NetIncome_2021,NetIncome_2022,NetIncome_2023,NetIncome_2024,NetIncomeIncr_2022,NetIncomeIncr_2023,NetIncomeIncr_2024,OperatingIncome_2021,OperatingIncome_2022,OperatingIncome_2023,OperatingIncome_2024,OperatingIncomeIncr_2022,OperatingIncomeIncr_2023,OperatingIncomeIncr_2024,GrossProfit_2021,GrossProfit_2022,GrossProfit_2023,GrossProfit_2024,GrossProfitIncr_2022,GrossProfitIncr_2023,GrossProfitIncr_2024,DilutedEPS_2021,DilutedEPS_2022,DilutedEPS_2023,DilutedEPS_2024,DilutedEPSIncr_2022,DilutedEPSIncr_2023,DilutedEPSIncr_2024,2015_Stock_Performance,2016_Stock_Performance,2017_Stock_Performance,2018_Stock_Performance,2019_Stock_Performance,2020_Stock_Performance,2021_Stock_Performance,2022_Stock_Performance,2023_Stock_Performance,2024_Stock_Performance,2025_Stock_Performance
10,AKZA.AS,Akzo Nobel NV,Netherlands,Materials,34100,EUR,12/31/2024,55.5,111,2,0.036036036,,,83,,,28,,,,,11025877202,12473835833,12269120474,12318574185,13.13236674,-1.641158035,0.403074622,953421529.2,404830371.9,508338137.4,623346765.8,-57.53920386,25.56818181,22.62443439,1285796465,814261088.8,1183438786,1054629122,-36.67262969,45.33898307,-10.88435376,4489936852,4511788491,4869465325,4987924212,0.486680319,7.927606418,2.432687761,5.129384825,2.31167343,2.967222612,3.634272656,-54.93273543,28.35820897,22.48062014,8.365206076,-2.575472298,23.69981324,-4.178107016,42.43897137,-0.007995782,10.93765551,-33.62077929,21.90834088,-21.26331103,2.64932002
11,AQN.TO,Algonquin Power & Utilities Corp,Canada,Utilities,3786,USD,12/31/2024,10,10,1,0.1,,,,,10,,,,,,2274142000,2765013000,2403924000,2319538000,21.58488784,-13.05921527,-3.510343921,264859000,-211989000,28674000,-1380517000,-180.0384355,-113.5261735,-4914.525354,388410000,511418000,482427000,449572000,31.66962746,-5.66874846,-6.8103568,1560227000,1898659000,1660420000,1725209000,21.69120263,-12.54775081,3.901964563,0.41,-0.33,0.03,-1.9,-180.4878049,-109.0909091,-6433.333333,20.20219572,10.11713999,29.4141477,1.58195064,39.77803285,19.9517033,-8.926664336,-48.42938519,-0.594951264,-19.7982849,24.80925246
12,ALV.DE,Allianz SE,Germany,Financials,156626,EUR,12/31/2024,71,213,3,0.042253521,,,71,,,49,93,,,,1.36758E+11,71239794670,1.18473E+11,1.37466E+11,-47.90813359,66.30171458,16.03150085,7602070335,7384704028,9822886949,11421506883,-2.859304077,33.01666406,16.27444093,9502587919,9230880035,12278608686,14276883604,-2.859304079,33.01666406,16.27444093,21000719301,20400244877,27135725196,31551912765,-2.859304081,33.01666406,16.27444093,18.20586587,17.80333567,24.35882749,28.95917262,-2.210991792,36.82170545,18.88574124,24.65628743,3.055126423,28.03875293,-5.492788277,30.04444974,-2.382963421,7.162403881,1.707014553,26.60675282,28.31797467,18.04198858
13,GOOGL,Alphabet Inc,USA,Communication Services,185719,USD,12/31/2024,53.2,266,5,0.093984962,,,,52,62,90,36,26,,,2.57637E+11,2.82836E+11,3.07394E+11,3.50018E+11,9.780815644,8.682770227,13.86624332,76033000000,59972000000,73795000000,1.00118E+11,-21.12372259,23.04908958,35.67043838,78714000000,74842000000,84293000000,1.1239E+11,-4.919074116,12.62793619,33.33254244,1.46698E+11,1.56633E+11,1.74062E+11,2.03712E+11,6.772416802,11.1272848,17.03416024,5.61,4.56,5.8,8.04,-18.71657754,27.19298246,38.62068966,48.38529632,3.968770249,31.57303981,-0.602073365,30.4234584,28.76276033,66.13691095,-39.17478664,55.92143908,38.52995916,-13.14950515
14,ALO.PA,Alstom SA,France,Industrials,86039,EUR,3/31/2025,31,155,5,0.161290323,,,,62,,39,29,,18,7,17792984895,18984474285,20263370232,21263945299,6.696399716,6.736536013,4.937851184,-668200130.8,-151811389.4,-355376661.7,171362856.3,-77.28055078,134.0909092,-148.2200647,143760785.5,333525022.3,570442796.7,760207033.5,132,71.03448274,33.26612903,1983898839,2261069634,2545140946,2649798798,13.97101453,12.56358087,4.112065077,1.081081107,-1.794134603,-0.402530199,-0.93156989,-265.9574468,-77.56410259,131.4285716,4.368024559,-7.082005093,32.15581829,1.513391828,21.15660804,19.73445198,-33.96186531,-27.44038429,-47.13541744,76.14006214,-15.63502949
15,AMS.MC,Amadeus IT Group SA,Spain,Information Technology,20643,EUR,12/31/2024,51.5,103,2,0.038834951,,87,16,,,,,,,,3070730377,5159172060,6257849487,7063484929,68.01123598,21.29561515,12.87399839,-163772286.8,764117326.9,1285336431,1441058113,-566.5730337,68.21192057,12.11524689,-95457161.55,1107188065,1626106997,1871880435,-1259.879518,46.86818332,15.11422302,960207038.2,2153076532,2773318064,3053479083,124.2304468,28.8072218,10.10201544,-0.368027611,1.667625111,2.794709669,3.208740731,-553.1249996,67.58620691,14.81481481,26.10337804,9.33528262,42.32402881,3.947166878,22.20517594,-17.22123786,-1.81100243,-18.51292035,33.52531234,6.11213961,-0.432408704
16,AWK,American Water Works Company Inc,USA,Utilities,6700,USD,12/31/2024,10.33333333,31,3,0.290322581,,,,,16,9,6,,,,3930000000,3792000000,4234000000,4684000000,-3.511450382,11.65611814,10.62824752,1263000000,820000000,944000000,1051000000,-35.07521774,15.12195122,11.33474576,1196000000,1273000000,1504000000,1718000000,6.43812709,18.14611155,14.2287234,2153000000,2203000000,2514000000,2826000000,2.32234092,14.11711303,12.41050119,6.95,4.51,4.9,5.39,-35.10791367,8.647450111,10,16.2285316,23.71835514,28.99321021,1.022541148,38.50526056,24.37563228,24.2341202,-17.93990748,-12.45441192,-3.139775738,16.03731736
17,AMUN.PA,Amundi SA,France,Communication Services,5700,EUR,12/31/2024,45.66666667,137,3,0.065693431,,,6,31,100,,,,,,6659682734,6753521724,6461270998,7122256638,1.409060968,-4.32738263,10.22996312,1574985661,1234866044,1339717110,1501002911,-21.59509292,8.490885834,12.03879534,1737597511,1480041438,1379985082,1521668811,-14.82253925,-6.760375313,10.26704787,2750295637,2666770621,2459415814,2679382467,-3.036946824,-7.775502151,8.943857795,7.763082415,6.072455578,6.555491817,7.326049627,-21.77777778,7.954545452,11.75438596,-4.588893758,11.39112952,50.74070509,-32.14379924,59.47954673,-3.27169931,11.66549562,-21.04080691,23.10582831,9.429911736,8.619946332
18,ADI,Analog Devices Inc,USA,Information Technology,24000,USD,10/31/2024,60.16666667,361,6,0.099722992,,78,42,17,82,74,68,,,,7318286000,12013953000,12305539000,9427157000,64.16348036,2.427061268,-23.39094614,1390422000,2748561000,3314579000,1635273000,97.67818691,20.59324861,-50.66423217,1776657000,3553209000,3983822000,2070056000,99.99409002,12.11898878,-48.03844148,4525012000,7532474000,7877218000,5381343000,66.46307236,4.576769863,-31.68472677,3.46,5.25,6.55,3.28,51.73410405,24.76190476,-49.92366412,4.36155519,37.64574728,25.33584937,-2.293598246,44.36082468,24.21461631,19.69933787,-4.586568538,22.20886362,9.689861062,8.14477793
19,AAL.L,Anglo American PLC,United Kingdom,Materials,,USD,12/31/2024,90,90,1,0.011111111,,,,,,,,,,90,41554000000,35118000000,30652000000,27290000000,-15.48828031,-12.71712512,-10.96828918,8562000000,4514000000,283000000,-3068000000,-47.27867321,-93.73061586,-1184.09894,17238000000,10921000000,6552000000,4948000000,-36.64578257,-40.005494,-24.48107448,13482000000,25661000000,19592000000,15044000000,90.33526183,-23.65067612,-23.21355655,1.67,6.84,3.68,0.23,309.5808383,-46.19883041,-93.75,-74.98550385,296.7846704,32.89022296,12.52083703,26.588917,11.91294083,22.39177975,6.974054363,-39.01903017,17.74192375,-13.82141943
