Year,Ranking,Stock_Performance_Year,Stock_Performance,Ticker,Company Name,Country,GICS Sector,fullTimeEmployees,Average Rank,Years Appeared,Original Currency,ReportDate_2024,TotalRevenueIncr,NetIncomeIncr,OperatingIncomeIncr,GrossProfitIncr,DilutedEPSIncr,TotalRevenue,NetIncome,OperatingIncome,GrossProfit,DilutedEPS
2017,0,2016,12.1826312674497,ADBE,Adobe Systems Inc,USA,Health Care,30709.0,92.0,1,USD,2024-11-30,,,,,,,,,,
2018,0,2017,69.4286038635879,ADBE,Adobe Systems Inc,USA,Health Care,30709.0,92.0,1,USD,2024-11-30,,,,,,,,,,
2019,0,2018,26.8865494104476,ADBE,Adobe Systems Inc,USA,Health Care,30709.0,92.0,1,USD,2024-11-30,,,,,,,,,,
2020,0,2019,49.3065303397399,ADBE,Adobe Systems Inc,USA,Health Care,30709.0,92.0,1,USD,2024-11-30,,,,,,,,,,
2021,0,2020,50.7424279415246,ADBE,Adobe Systems Inc,USA,Health Care,30709.0,92.0,1,USD,2024-11-30,,,,,,,,,,
2022,0,2021,14.0375860918406,ADBE,Adobe Systems Inc,USA,Health Care,30709.0,92.0,1,USD,2024-11-30,,,,,,15785000000.0,4822000000.0,5802000000.0,13920000000.0,10.02
2023,0,2022,-40.6106089685107,ADBE,Adobe Systems Inc,USA,Health Care,30709.0,92.0,1,USD,2024-11-30,11.536268609439341,-1.368726669431771,5.10168907273354,10.926724137931036,0.7984031936127752,17606000000.0,4756000000.0,6098000000.0,15441000000.0,10.1
2024,0,2023,75.3880436156619,ADBE,Adobe Systems Inc,USA,Health Care,30709.0,92.0,1,USD,2024-11-30,10.240826990798592,14.129520605550884,9.052148245326338,10.452690887895862,17.029702970297038,19409000000.0,5428000000.0,6650000000.0,17055000000.0,11.82
2025,0,2024,-24.3778764723251,ADBE,Adobe Systems Inc,USA,Health Care,30709.0,92.0,1,USD,2024-11-30,10.799113813179453,2.4318349299926307,16.406015037593985,12.2661975960129,4.568527918781719,21505000000.0,5560000000.0,7741000000.0,19147000000.0,12.36
2016,0,2015,-7.21102736450688,2395.TW,Advantech Co Ltd,Taiwan,Consumer Staples,,68.0,2,TWD,2024-12-31,,,,,,,,,,
2017,0,2016,20.3309616870029,2395.TW,Advantech Co Ltd,Taiwan,Consumer Staples,,68.0,2,TWD,2024-12-31,,,,,,,,,,
2018,0,2017,-9.02065852890314,2395.TW,Advantech Co Ltd,Taiwan,Consumer Staples,,68.0,2,TWD,2024-12-31,,,,,,,,,,
2021,0,2020,26.6838940434693,2395.TW,Advantech Co Ltd,Taiwan,Consumer Staples,,68.0,2,TWD,2024-12-31,,,,,,,,,,
2022,0,2021,14.9275411387626,2395.TW,Advantech Co Ltd,Taiwan,Consumer Staples,,68.0,2,TWD,2024-12-31,,,,,,1984967609.0,279356102.5,331977101.3,749384600.2,0.323557131
2023,0,2022,-17.4563647382219,2395.TW,Advantech Co Ltd,Taiwan,Consumer Staples,,68.0,2,TWD,2024-12-31,17.267650990671658,30.385271966629045,28.340673658385235,17.990255185924482,30.39456484734376,2327724888.0,364239214.0,426061648.2,884200802.1,0.421900913
2024,0,2023,24.174291674451,2395.TW,Advantech Co Ltd,Taiwan,Consumer Staples,,68.0,2,TWD,2024-12-31,-6.076110485785208,0.7479076374242275,-3.357721226596892,0.18653853243320062,0.4815407924940985,2186289752.0,366963386.9,411755685.8,885850177.3,0.423932538
2025,0,2024,-6.99865410497981,2395.TW,Advantech Co Ltd,Taiwan,Consumer Staples,,68.0,2,TWD,2024-12-31,-7.40525714178072,-16.908769816022204,-25.215895780108745,-6.826464705839365,-17.092651661477326,2024389374.0,304914392.5,307927801.2,825377927.6,0.351471226
2017,0,2016,-2.15451527148172,ADP.PA,Aeroports de Paris,France,Information Technology,29330.0,31.0,1,EUR,2024-12-31,,,,,,,,,,
2018,0,2017,58.7787731353144,ADP.PA,Aeroports de Paris,France,Information Technology,29330.0,31.0,1,EUR,2024-12-31,,,,,,,,,,
2019,0,2018,5.1818764388403,ADP.PA,Aeroports de Paris,France,Information Technology,29330.0,31.0,1,EUR,2024-12-31,,,,,,,,,,
2020,0,2019,10.7682604594306,ADP.PA,Aeroports de Paris,France,Information Technology,29330.0,31.0,1,EUR,2024-12-31,,,,,,,,,,
2021,0,2020,-40.950217034965,ADP.PA,Aeroports de Paris,France,Information Technology,29330.0,31.0,1,EUR,2024-12-31,,,,,,,,,,
2022,0,2021,4.37615979937107,ADP.PA,Aeroports de Paris,France,Information Technology,29330.0,31.0,1,EUR,2024-12-31,,,,,,3193789610.0,-285221398.4,48303623.91,1029327224.0,-13.58251901
2023,0,2022,9.4884081771642,ADP.PA,Aeroports de Paris,France,Information Technology,29330.0,31.0,1,EUR,2024-12-31,68.81526826684116,-308.06451610188867,2142.857142599842,141.6759776675255,-78.83149873095594,5391604498.0,593444522.4,1083381279.0,2487636632.0,-2.875215709
2024,0,2023,-4.93886119207907,ADP.PA,Aeroports de Paris,France,Information Technology,29330.0,31.0,1,EUR,2024-12-31,17.214163823483034,22.28682170072382,28.980891777067523,25.150254259481414,-308.8000000211463,6319724129.0,725704445.0,1397354835.0,3113283570.0,6.003450401
2025,0,2024,-2.01306277782734,ADP.PA,Aeroports de Paris,France,Information Technology,29330.0,31.0,1,EUR,2024-12-31,12.06551410212672,-45.80031695961295,2.6337448497825537,13.705208709915237,22.413793104309846,7082231335.0,393329509.0,1434157596.0,3539965581.0,7.349051353
2017,0,2016,12.1749431071918,A,Agilent Technologies Inc,USA,Communication Services,18000.0,65.0,1,USD,2024-10-31,,,,,,,,,,
2018,0,2017,47.1231203216664,A,Agilent Technologies Inc,USA,Communication Services,18000.0,65.0,1,USD,2024-10-31,,,,,,,,,,
2019,0,2018,-1.25870663952911,A,Agilent Technologies Inc,USA,Communication Services,18000.0,65.0,1,USD,2024-10-31,,,,,,,,,,
2020,0,2019,28.7589490636714,A,Agilent Technologies Inc,USA,Communication Services,18000.0,65.0,1,USD,2024-10-31,,,,,,,,,,
2021,0,2020,37.5419253109057,A,Agilent Technologies Inc,USA,Communication Services,18000.0,65.0,1,USD,2024-10-31,,,,,,,,,,
2022,0,2021,35.8142535302977,A,Agilent Technologies Inc,USA,Communication Services,18000.0,65.0,1,USD,2024-10-31,,,,,,6319000000.0,1210000000.0,1347000000.0,3407000000.0,3.94
2023,0,2022,-5.2612443807161,A,Agilent Technologies Inc,USA,Communication Services,18000.0,65.0,1,USD,2024-10-31,8.371577781294508,3.6363636363636362,20.11878247958426,9.245670678015848,6.091370558375629,6848000000.0,1254000000.0,1618000000.0,3722000000.0,4.18
2024,0,2023,-7.84406212436397,A,Agilent Technologies Inc,USA,Communication Services,18000.0,65.0,1,USD,2024-10-31,-0.21904205607476634,-1.1164274322169059,-16.563658838071692,-6.904889844169801,0.23923444976078173,6833000000.0,1240000000.0,1350000000.0,3465000000.0,4.19
2025,0,2024,-2.23389821870201,A,Agilent Technologies Inc,USA,Communication Services,18000.0,65.0,1,USD,2024-10-31,-4.72705985657837,3.951612903225806,10.222222222222223,2.0202020202020203,5.727923627684948,6510000000.0,1289000000.0,1488000000.0,3535000000.0,4.43
2016,0,2015,29.1627065137437,AEM.TO,Agnico Eagle Mines Ltd,Canada,Materials,,79.5,2,USD,2024-12-31,,,,,,,,,,
2017,0,2016,51.826698999098,AEM.TO,Agnico Eagle Mines Ltd,Canada,Materials,,79.5,2,USD,2024-12-31,,,,,,,,,,
2018,0,2017,3.94358465534862,AEM.TO,Agnico Eagle Mines Ltd,Canada,Materials,,79.5,2,USD,2024-12-31,,,,,,,,,,
2019,0,2018,-4.27354120248476,AEM.TO,Agnico Eagle Mines Ltd,Canada,Materials,,79.5,2,USD,2024-12-31,,,,,,,,,,
2020,0,2019,49.6600506218148,AEM.TO,Agnico Eagle Mines Ltd,Canada,Materials,,79.5,2,USD,2024-12-31,,,,,,,,,,
2023,0,2022,9.6939827410835,AEM.TO,Agnico Eagle Mines Ltd,Canada,Materials,,79.5,2,USD,2024-12-31,48.36481571211681,19.27306053083487,36.54497656918337,47.4666421275421,5.714285714285719,5741162000.0,670249000.0,1442909000.0,2003150000.0,2.22
2024,0,2023,3.93967941546161,AEM.TO,Agnico Eagle Mines Ltd,Canada,Materials,,79.5,2,USD,2024-12-31,15.428009173055907,189.63967122666352,17.4455908168845,9.920625015600429,-31.081081081081084,6626909000.0,1941307000.0,1694633000.0,2201875000.0,1.53
2025,0,2024,57.3101945275632,AEM.TO,Agnico Eagle Mines Ltd,Canada,Materials,,79.5,2,USD,2024-12-31,25.031941739353897,-2.355423433800012,85.84726014423183,67.38447913709906,158.16993464052288,8285753000.0,1895581000.0,3149429000.0,3685597000.0,3.95
2016,0,2015,8.36520607613522,AKZA.AS,Akzo Nobel NV,Netherlands,Materials,34100.0,55.5,2,EUR,2024-12-31,,,,,,,,,,
2017,0,2016,-2.57547229762191,AKZA.AS,Akzo Nobel NV,Netherlands,Materials,34100.0,55.5,2,EUR,2024-12-31,,,,,,,,,,
2019,0,2018,-4.17810701573707,AKZA.AS,Akzo Nobel NV,Netherlands,Materials,34100.0,55.5,2,EUR,2024-12-31,,,,,,,,,,
2020,0,2019,42.4389713703346,AKZA.AS,Akzo Nobel NV,Netherlands,Materials,34100.0,55.5,2,EUR,2024-12-31,,,,,,,,,,
2022,0,2021,10.9376555068166,AKZA.AS,Akzo Nobel NV,Netherlands,Materials,34100.0,55.5,2,EUR,2024-12-31,,,,,,11025877202.0,953421529.2,1285796465.0,4489936852.0,5.129384825
2023,0,2022,-33.6207792856359,AKZA.AS,Akzo Nobel NV,Netherlands,Materials,34100.0,55.5,2,EUR,2024-12-31,13.13236674481875,-57.539203856694286,-36.67262969182296,0.48668031912890697,-54.93273542797601,12473835833.0,404830371.9,814261088.8,4511788491.0,2.31167343
2024,0,2023,21.9083408795398,AKZA.AS,Akzo Nobel NV,Netherlands,Materials,34100.0,55.5,2,EUR,2024-12-31,-1.6411580346313188,25.568181807655527,45.338983070413924,7.927606418463201,28.358208970719545,12269120474.0,508338137.4,1183438786.0,4869465325.0,2.967222612
2025,0,2024,-21.2633110299129,AKZA.AS,Akzo Nobel NV,Netherlands,Materials,34100.0,55.5,2,EUR,2024-12-31,0.40307462221761864,22.62443439483712,-10.88435375989105,2.4326877612584705,22.480620136228584,12318574185.0,623346765.8,1054629122.0,4987924212.0,3.634272656
2016,0,2015,20.2021957229995,AQN.TO,Algonquin Power & Utilities Corp,Canada,Utilities,3786.0,10.0,1,USD,2024-12-31,,,,,,,,,,
2017,0,2016,10.1171399921592,AQN.TO,Algonquin Power & Utilities Corp,Canada,Utilities,3786.0,10.0,1,USD,2024-12-31,,,,,,,,,,
2018,0,2017,29.4141476977469,AQN.TO,Algonquin Power & Utilities Corp,Canada,Utilities,3786.0,10.0,1,USD,2024-12-31,,,,,,,,,,
2019,0,2018,1.58195064036803,AQN.TO,Algonquin Power & Utilities Corp,Canada,Utilities,3786.0,10.0,1,USD,2024-12-31,,,,,,,,,,
2021,0,2020,19.9517032965108,AQN.TO,Algonquin Power & Utilities Corp,Canada,Utilities,3786.0,10.0,1,USD,2024-12-31,,,,,,,,,,
2022,0,2021,-8.92666433583233,AQN.TO,Algonquin Power & Utilities Corp,Canada,Utilities,3786.0,10.0,1,USD,2024-12-31,,,,,,2274142000.0,264859000.0,388410000.0,1560227000.0,0.41
