Ticker,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
META,12.849444598583304,52.08134724508333,-25.03376891784382,58.46962993638408,31.49695838139184,25.32205810011684,-64.42802652249941,188.19411786937508,68.93386314152683,24.609587340310238
NFLX,13.577984451153958,53.61716398869585,30.5864245802666,24.69530973494033,60.86783717782127,13.560301828472868,-51.3085959585637,63.349664118245116,86.35112235894644,47.752093257084034
TMUS,47.99280733291005,9.31151274538326,-1.0328678942833658,24.19279030334705,68.96556002008676,-13.246456674128252,20.939869383618916,15.848837983243582,39.659004472851386,6.628622620373979
DIS,2.585429970683064,3.6857396936893663,0.04727069975711173,34.62260970391958,24.695431298316315,-14.44638756674704,-44.246940700266975,1.8029520162832393,24.08923766583966,9.992574426405852
VZ,22.153084175552898,2.8578592498376527,8.904466043376098,13.60543621578244,-1.1356706075017284,-7.36400164943623,-20.190583871331896,1.7576416469097293,11.950099417370689,9.296401259207036
SPOT,,,-32.39300314134238,34.166212292029655,111.49007026722887,-25.04568454908987,-66.43995878927007,129.49439419316215,140.24993417339843,71.46788552758439
CMCSA,27.32100674357085,16.411504355961423,-14.503406477145797,36.92033052366249,15.427876914376506,-1.4910168589436195,-28.17857789135833,28.1901870237399,-12.169225200371729,-4.920744146867782
CHTR,59.45946905227505,15.752481656226369,-15.763971059924756,72.59636331758735,34.07397987822146,-1.4041683808072052,-47.242317214544435,13.629186531582564,-11.286320979068037,15.679997365743608
BIDU,-9.311043217582057,40.83584029819509,-31.426278319557582,-19.138169523610774,69.61154959129803,-31.38808966365251,-23.18850685615669,0.1935013682971764,-28.094786987225252,3.5589745697239716
IPG,4.9745385932677495,-11.926355465891227,9.60905933349425,18.46239539274424,6.154374478810073,66.45491071549444,-8.38499227347763,-0.35931970108541766,-11.198693116192082,-11.429147561466968
0700.HK,25.704927247455412,116.50011775122123,-23.84270820350045,22.0128078220472,49.33380625364947,-20.302580090149565,-24.788828128628083,-6.789354305573228,40.87312735002151,24.095478631404983
0941.HK,-2.9061614164418375,0.37247215643549686,-2.618327181591702,-7.591393061939993,-29.20188565418476,17.009906963247836,20.51118248298666,35.3568213717617,25.844632639921056,15.965617342329777
T,33.27131251321531,-2.827500013850861,-21.362605046332135,48.53723829825853,-20.56635801930618,-7.244262469370462,5.69509280638685,-3.2565789006070482,42.577996825794706,25.879266945575495
DTE.DE,3.463476609259512,-5.73680582580275,4.889144915226713,3.5124024361976445,2.445527372234987,11.836988965657238,18.073596376492283,19.71051987579458,37.04361599717193,10.720818187287428
0728.HK,2.0362836665830626,6.192364253788073,9.840324870262526,-15.858455331336764,-29.377563854393173,26.316619588328354,33.414854905711195,29.23365977119049,38.74889715854259,15.226332320757555
BHARTIARTL.NS,-9.735401263408406,75.18549545379139,-39.10260370492683,58.739222444344975,13.584804127296179,35.110729953710816,17.720692580827084,28.61287565715361,54.63381053748556,27.250469277208882
ORA.PA,-0.761101630207927,5.070981387777426,1.6593217525397372,-1.9714192724782285,-21.75973875652096,1.0061452826149209,5.219151236422507,18.204179821165337,-0.5109105351199583,36.93138362600011
9432.T,5.461735299246374,10.54635564634823,-12.737901588742842,27.72864898900236,-0.15151251169839464,22.325420728119035,22.598244615016444,17.831344553269197,-4.134739171679473,-3.417039469627805
VOD.L,-8.921529554535661,16.873918378821777,-34.26323162844957,-1.9268810428227714,-16.28606409188535,-8.1862759442354,-25.714288248006557,-19.303206472531855,-2.0402315373844826,13.562219577548895
9984.T,29.26546373046206,14.224714701876351,-17.720833497880196,36.74816417412127,73.53990982807343,-32.53177848865768,2.135454932942956,14.158841072447393,52.81823972012399,8.696853365394139
RELX,4.538038427241365,35.26467784766707,-10.437449154994951,25.828379165694095,1.315517561326851,31.040153281023386,-12.08792008815417,45.721413971016794,18.39185964473975,19.267483057807926
PRX.AS,,,,-11.552627175974818,31.424412612589354,-19.75228889463254,-11.92194170939439,-9.41443613446092,39.001926677437865,23.951549468645155
ABNB,,,,,1.6643785450556507,11.782232359040638,-48.27492240307862,55.79332386741888,-1.9489661979722142,2.0095618816990797
6758.T,11.096628943370318,54.225103945887554,5.017247281445027,44.822731906328876,40.72477619632063,38.516734911629925,-31.55428750055763,33.40275127206789,26.814371921096054,13.191510868226944
TRI,21.551528950248205,2.5871250012499973,11.742232917495256,52.658400405392804,16.952995518636467,47.08236116394451,-2.5954394798970712,35.6745276953362,12.769261726158254,24.285902089380784
FOXA,,,,-1.120708463253528,-21.027079609095953,29.893742076588353,-17.018898771259884,-0.6651848635355688,67.1980765196462,16.814858110981127
PARA,39.00125753852418,-8.74048473040558,-24.359082958060547,-3.803517390698583,-8.99383362342848,-14.680450515012545,-42.63931496600607,-13.056325070951392,-28.302955781545723,20.237529557512797
AMT,11.986797351881732,36.36004997285306,13.392295788935456,48.25415249147558,-2.249382158547714,31.32635215603708,-25.63514762764693,4.317329887815974,-12.279978538996486,20.212903812833705
BT-A.L,-21.447904186941948,-26.826492546300962,-13.867781958372255,-18.37244513150769,-29.838204501400206,24.46134948667007,-33.08869934792602,9.208547627233918,15.719103071139068,34.372827301282825
TEF,-7.430676578982297,10.0518377143854,-9.472728916673264,-10.22368181773936,-40.194221921339846,13.075968177302041,-10.977356281362075,16.459691530772727,10.24622150985024,28.148143525858583
AMZN,14.258943488840664,54.299924634160604,26.11092645198383,26.050361708896848,75.24532877604166,3.1464836283925846,-49.86571264098898,77.79078407340216,46.034058899492265,0.5719967028974999
