Company Name,Country,GICS Sector,Ticker
Gilead Sciences,USA,Health Care,GILD
CVS Health,USA,Health Care,CVS
Cigna,USA,Health Care,CI
Elevance Health,USA,Health Care,ELV
Humana,USA,Health Care,HUM
McKesson,USA,Health Care,MCK
Cardinal Health,USA,Health Care,CAH
GE Healthcare,USA,Health Care,GEHC
Centene Corporation,USA,Health Care,CNC
Walgreens Boots Alliance,USA,Health Care,WBA
Regeneron,USA,Health Care,REGN
Novo Nordisk,Denmark,Health Care,NVO
Sanofi,France,Health Care,SNY
AstraZeneca,UK,Health Care,AZN
Bayer,Germany,Health Care,BAYN.DE
Biogen,USA,Health Care,BIIB
Moderna,USA,Health Care,MRNA
Zoetis,USA,Health Care,ZTS
IQVIA,USA,Health Care,IQV
DaVita,USA,Health Care,DVA
Illumina,USA,Health Care,ILMN
HCA Healthcare,USA,Health Care,HCA
Caterpillar,USA,Industrials,CAT
Union Pacific,USA,Industrials,UNP
Raytheon Technologies,USA,Industrials,RTX
Lockheed Martin,USA,Industrials,LMT
General Electric,USA,Industrials,GE
Northrop Grumman,USA,Industrials,NOC
Honeywell,USA,Industrials,HON
Waste Management,USA,Industrials,WM
Deere & Company,USA,Industrials,DE
Boeing,USA,Industrials,BA
3M,USA,Industrials,MMM
Illinois Tool Works,USA,Industrials,ITW
Eaton,Ireland,Industrials,ETN
Parker Hannifin,USA,Industrials,PH
Cummins,USA,Industrials,CMI
Carrier Global,USA,Industrials,CARR
Trane Technologies,Ireland,Industrials,TT
Fortive,USA,Industrials,FTV
Textron,USA,Industrials,TXT
Ball Corporation,USA,Industrials,BALL
Pentair,USA,Industrials,PNR
Jacobs,USA,Industrials,J
Otis Worldwide,USA,Industrials,OTIS
Howmet Aerospace,USA,Industrials,HWM
Rockwell Automation,USA,Industrials,ROK
Allegion,USA,Industrials,ALLE
Stanley Black & Decker,USA,Industrials,SWK
Nordson,USA,Industrials,NDSN
Xylem,USA,Industrials,XYL
Apple,USA,Information Technology,AAPL
Microsoft,USA,Information Technology,MSFT
Nvidia,USA,Information Technology,NVDA
Intel,USA,Information Technology,INTC
AMD,USA,Information Technology,AMD
Salesforce,USA,Information Technology,CRM
Oracle,USA,Information Technology,ORCL
Cisco,USA,Information Technology,CSCO
Broadcom,USA,Information Technology,AVGO
