Id,Ticker,Company Name,Country,GICS Sector,fullTimeEmployees,Original Currency,ESG Rank Year,ESG Rank,Average Rank,Years Appeared,Fin Metrics Year,Stock_Performance per,ReportDate,TotalRevenueIncr per,NetIncomeIncr per,OperatingIncomeIncr per,GrossProfitIncr per,DilutedEPSIncr per,TotalRevenue,NetIncome,OperatingIncome,GrossProfit,DilutedEPS,Net Margin per,Operating Margin per,Gross Margin per,ToralRevenue per employee,NetIncome per employee
114,BBAS3.SA,Banco do Brasil SA,Brazil,Financials,,BRL,2023,15,22.55555556,9,2022,19.98,12/31/2024,23.52,57.85,57.85,57.85,57.87,22334056944,5637909528,7047386910,15574725071,0.981,25.24,31.55,69.74,,
115,BBAS3.SA,Banco do Brasil SA,Brazil,Financials,,BRL,2024,6,22.55555556,9,2023,61.86,12/31/2024,1.8,-4.02,-4.02,-4.02,-3.42,22735926300,5411163204,6763954005,14948338351,0.948,23.8,29.75,65.75,,
116,BBAS3.SA,Banco do Brasil SA,Brazil,Financials,,BRL,2025,17,22.55555556,9,2024,-12.3,12/31/2024,12.99,-11.73,-11.73,-11.73,-11.66,25688865000,4776539985,5970674981,13195191708,0.837,18.59,23.24,51.37,,
117,BSBR,Banco Santander Brasil SA,Brazil,Financials,55303,BRL,2017,60,68,2,2016,146.66,12/31/2024,,,,,,,,,,,,,,,
118,BSBR,Banco Santander Brasil SA,Brazil,Financials,55303,BRL,2018,76,68,2,2017,5.27,12/31/2024,,,,,,,,,,,,,,,
119,BAC,Bank of America Corp,USA,Financials,213000,USD,2019,63,63,1,2018,-16.51,12/31/2024,,,,,,,,,,,,,,,
120,3988.HK,Bank of China Ltd,China,Financials,312757,CNY,2024,94,94,1,2023,14.61,12/31/2024,6.36,2.38,2.38,2.38,2.78,86522538037,32262660166,40328325208,89125598710,0.103,37.29,46.61,103.01,2.77E+05,103155.68
121,BMO.TO,Bank of Montreal,Canada,Financials,53597,CAD,2016,86,70.28571429,7,2015,-0.08,10/31/2024,,,,,,,,,,,,,,,
122,BMO.TO,Bank of Montreal,Canada,Financials,53597,CAD,2017,61,70.28571429,7,2016,31.06,10/31/2024,,,,,,,,,,,,,,,
123,BMO.TO,Bank of Montreal,Canada,Financials,53597,CAD,2020,48,70.28571429,7,2019,18.42,10/31/2024,,,,,,,,,,,,,,,
124,BMO.TO,Bank of Montreal,Canada,Financials,53597,CAD,2021,47,70.28571429,7,2020,0.71,10/31/2024,,,,,,,,,,,,,,,
125,BMO.TO,Bank of Montreal,Canada,Financials,53597,CAD,2022,80,70.28571429,7,2021,45.97,10/31/2024,,,,,,19585422672,5643664477,7054580596,15590623117,8.428,28.82,36.02,79.6,3.65E+05,105298.14
126,BMO.TO,Bank of Montreal,Canada,Financials,53597,CAD,2023,88,70.28571429,7,2022,-7.72,10/31/2024,-2.42,74.58,74.58,74.58,72.63,19112327249,9852758063,12315947579,27218244150,14.55,51.55,64.44,142.41,3.57E+05,183830.4
