Ticker,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AAK.ST,-2.202286119674448,17.083332578838352,6.243825181262118,46.66994941756444,-5.539516867450518,19.045791665609077,-7.516373299129968,26.07028853568253,41.69900573873144,-17.596812299389974
ABBN.SW,26.47975846894674,24.945874844023873,-25.993821196346843,31.234338942928762,11.25991038748295,43.80620971467769,-14.26437794260388,35.24411411113037,34.428081736710915,-4.544915376044912
ACN,16.446632320252345,33.05195751130936,-7.26838704391229,53.52853632648159,24.09862315592522,60.51539789235635,-34.77057448551491,32.42389841383503,2.862346813758964,-15.683168382281973
ANA.MC,-7.918880194685353,0.8140860987535754,10.355567746426741,32.6620469458581,26.3393366025863,48.30598221625132,2.260551847112204,-22.94797511459086,-19.895872523000254,36.35530957666501
ADS.DE,72.83120079399393,12.880560939230026,10.634712288179976,60.46896925602779,3.0082949953735376,-14.707040588079462,-48.95460825414187,44.09735048559417,28.94786130060303,-15.741748177432296
ADBE,12.182631267449736,69.42860386358794,26.886549410447614,49.30653033973997,50.742427941524625,14.037586091840652,-40.61060896851075,75.3880436156619,-24.377876472325195,-15.106309892177041
2395.TW,20.330961687002972,-9.020658528903144,-0.7075457118047257,45.39007185044885,26.683894043469376,14.92754113876267,-17.45636473822191,24.174291674451098,-6.998654104979811,-4.934687953555878
ADP.PA,-2.154515271481725,58.77877313531447,5.181876438840309,10.768260459430666,-40.95021703496505,4.376159799371078,9.488408177164207,-4.9388611920790755,-2.013062777827346,-6.247509622713162
A,12.174943107191822,47.123120321666484,-1.2587066395291127,28.758949063671444,37.5419253109057,35.81425353029776,-5.261244380716103,-7.844062124363979,-2.2338982187020147,-13.928920580842524
AEM.TO,51.82669899909802,3.943584655348621,-4.273541202484766,49.66005062181489,16.11516549074472,-26.161224807297423,9.693982741083502,3.939679415461613,57.310194527563276,47.30752059918326
AKZA.AS,-2.5754722976219164,23.699813237393094,-4.178107015737073,42.43897137033464,-0.007995782466762387,10.937655506816684,-33.62077928563595,21.908340879539843,-21.263311029912927,2.6493200200578895
AQN.TO,10.117139992159226,29.414147697746916,1.5819506403680388,39.77803284529407,19.951703296510864,-8.926664335832339,-48.42938519255259,-0.5949512636630331,-19.79828490246487,24.80925246012049
ALV.DE,3.0551264230018385,28.038752927078626,-5.492788277297954,30.044449744946643,-2.3829634206111376,7.16240388087856,1.7070145526667282,26.606752816256424,28.317974674917078,18.041988583482805
GOOGL,3.968770249261576,31.573039805524473,-0.6020733648059157,30.423458403891583,28.762760333769695,66.13691094953774,-39.17478664443635,55.92143907512248,38.529959156597705,-13.149505146627662
ALO.PA,-7.082005092732954,32.15581829159637,1.5133918276673681,21.15660803624155,19.734451984826496,-33.96186531257847,-27.440384288590515,-47.13541744276878,76.14006214260026,-15.635029486071414
AMS.MC,9.335282620337477,42.32402881439607,3.94716687770386,22.205175939906972,-17.22123785661204,-1.8110024297400669,-18.512920347715607,33.52531233649914,6.112139610229834,-0.43240870416709504
AWK,23.718355142496,28.993210210543385,1.0225411477101467,38.50526055908449,24.375632276876054,24.234120204719996,-17.939907482256505,-12.454411916049866,-3.1397757384694516,16.037317356801562
AMUN.PA,11.391129522731283,50.740705094343696,-32.14379924247325,59.47954672802609,-3.2716993103228202,11.66549561988026,-21.040806907489117,23.10582830845408,9.42991173594722,8.619946332118863
ADI,37.6457472750788,25.33584937056419,-2.293598246025448,44.36082468270428,24.21461631183035,19.69933787315431,-4.586568537807794,22.208863615795646,9.689861061940054,8.144777930023494
AAL.L,296.78467035098765,32.89022296157345,12.520837027201868,26.588917002429035,11.912940827111635,22.39177975144468,6.9740543634534555,-39.01903016793373,17.741923748453544,-13.821419429243315
ANSS,1.1925561484613374,58.49440720007701,-3.482948778874543,83.1799581430928,40.97505682935425,11.958047700401355,-39.44354206147515,47.951236825398006,-5.819391046713839,-1.2876786928904842
AAPL,15.38530767742622,48.48996635124373,-6.8079971191151705,91.03886978933915,82.11561514708734,34.28591330068231,-26.511791377777943,48.607733482907726,35.41841667050513,-18.858285191416343
AMAT,79.1569641128371,59.41663416815498,-36.33499049879842,93.65340666219991,42.18287231554806,82.3739089941773,-37.69307089583888,63.94929797124216,3.0736417448265776,5.092838040979842
ARCLK.IS,54.888148641255555,4.902188018806385,-25.28247946426905,30.851729744452673,45.809539414018595,71.36435532807027,139.5917237883318,12.719298245614036,10.108017151066479,-23.125438476336633
ASM.AS,21.13178087019632,34.14028235568102,-30.924852224198883,186.72132858986666,78.84700084092613,117.63823762755388,-39.49251289937796,97.16172186855032,18.948930834914275,-6.505874986764586
ASML.AS,33.51464536661028,38.288664243394045,-4.9184513996970765,96.96341647585805,51.71755798672788,76.80346813324668,-28.067239574854014,33.691041559080375,-0.8010675393679046,-0.40897255896619256
G.MI,-10.975081096527717,13.819641133516166,1.666934281646119,33.629004750047066,-19.614558011308013,41.749446268411596,-5.024721806467683,21.764855908749993,50.20402791002627,13.831431360745528
4503.T,-3.5184287505531104,-10.674207328608636,-0.3888815913367996,38.719374130872694,-11.76833758207751,19.26103349329834,8.16002408074416,-15.27638190954774,-6.707202393027583,-9.2639426532309
AZN.L,-2.7502409675939847,15.587732891199686,14.246735544817668,30.724981751726048,-2.527266243228394,16.83988850299262,30.07886179502341,-6.324600662462189,-2.08573900609557,0.14890899968268864
ATEA.OL,17.54890779400763,54.35099526585287,0.3597670184143624,23.436579329515407,-1.9473223812632536,41.98951152664879,-27.16025813453734,18.828058087940637,14.074743120886263,11.123477167632375
