Year-Month-Date,Ticker,Original Currency,TotalRevenue,CostOfRevenue,GrossProfit,OperatingExpense,OperatingIncome,NetIncome,DilutedEPS,InterestExpense,NormalizedEBITDA,EBITDA,EBIT,NormalizedIncome,TotalExpenses,DilutedAverageShares,BasicAverageShares,BasicEPS,fullTimeEmployees,sector,industry,marketCap,enterpriseValue,beta,dividendYield,trailingPE,forwardPE,priceToSalesTrailing12Months,priceToBook,totalDebt,debtToEquity,operatingMargins,profitMargins,country,ResearchAndDevelopment
2024-12-31,ANA.MC,EUR,22070155783.891678,8118459076.523781,13951696707.367897,12779758784.294128,1171937923.0737686,485336411.71455383,,756756774.6639252,2787809151.649475,2946521058.7978363,1636572781.6820145,358989285.63174057,20898217860.81791,,,,66021,Industrials,Engineering & Construction,9322886624.288147,20208394930.176025,0.923,3.57,19.237726,16.220043,0.38826755,1.6841414,14481886484.146118,197.491,0.05671,0.02021,Spain,
2023-12-31,ANA.MC,EUR,19575618634.581566,6285221540.3318405,13290397094.249725,12024152095.913887,1266244998.3358383,622196679.4729233,11.374353345632553,589994263.5297775,2784358892.798424,2790109324.2168427,1531914929.8667908,617836462.2435725,18309373636.245728,54723941.0,54723941.0,11.374353345632553,66021,Industrials,Engineering & Construction,9322886624.288147,20208394930.176025,0.923,3.57,19.237726,16.220043,0.38826755,1.6841414,14481886484.146118,197.491,0.05671,0.02021,Spain,
2022-12-31,ANA.MC,EUR,12875215945.839882,3922944313.645363,8952271632.194519,7619321629.405022,1332950002.7894974,507188051.1045456,9.269695446491243,295572174.90673065,2333525069.5943832,2270270323.9917755,1294997155.4279327,551954067.8428694,11542265943.050385,54684851.0,54684851.0,9.269695446491243,66021,Industrials,Engineering & Construction,9322886624.288147,20208394930.176025,0.923,3.57,19.237726,16.220043,0.38826755,1.6841414,14481886484.146118,197.491,0.05671,0.02021,Spain,
2021-12-31,ANA.MC,EUR,9320299242.973328,2150661350.4886627,7169637892.484665,6401380254.983902,768257637.5007629,381828646.1830139,6.992524604797364,270270276.66568756,1680276060.461998,1753881582.6177597,931569889.7838593,330112766.26835716,8552041605.472565,54628413.0,54628413.0,6.992524604797364,66021,Industrials,Engineering & Construction,9322886624.288147,20208394930.176025,0.923,3.57,19.237726,16.220043,0.38826755,1.6841414,14481886484.146118,197.491,0.05671,0.02021,Spain,
2020-12-31,ANA.MC,EUR,,,,,,,8.165612614154815,,,,,,,54523975.0,54523975.0,8.165612614154815,66021,Industrials,Engineering & Construction,9322886624.288147,20208394930.176025,0.923,3.57,19.237726,16.220043,0.38826755,1.6841414,14481886484.146118,197.491,0.05671,0.02021,Spain,
2024-12-31,ADS.DE,EUR,27237493456.482887,13407705895.18547,13829787561.297417,12345026169.06166,1484761392.235756,878665920.7344055,4.9223692941665655,254169068.69411469,2838412948.1315613,2890166830.897331,1543415792.7036285,831426126.6320944,25752732064.24713,178563385.0,178549084.0,4.9223692941665655,46045,Consumer Cyclical,Footwear & Accessories,40443042889.15039,45267777696.82031,1.125,1.02,34.371727,26.614864,1.4424984,6.151035,6404830440.229431,91.49,0.098979995,0.04192,Germany,
2023-12-31,ADS.DE,EUR,24642898800.492287,12931570173.740387,11711328626.7519,11390454553.604126,320874073.14777374,-86256471.27628326,-0.48303623914718624,184013805.3894043,1533065016.1504745,1519263980.7462692,258769413.8288498,-125129387.66479492,24322024727.344513,178557615.0,178543596.0,-0.48303623914718624,46045,Consumer Cyclical,Footwear & Accessories,40443042889.15039,45267777696.82031,1.125,1.02,34.371727,26.614864,1.4424984,6.151035,6404830440.229431,91.49,0.098979995,0.04192,Germany,
2022-12-31,ADS.DE,EUR,25889592332.0055,13648073928.47538,12241518403.53012,11403105502.724648,838412900.8054733,703852805.6144714,3.8412881875038147,157561820.86467743,2254169116.0202026,2185163938.999176,603795298.9339828,307418063.62867355,25051179431.200027,183268087.0,183263629.0,3.8412881875038147,46045,Consumer Cyclical,Footwear & Accessories,40443042889.15039,45267777696.82031,1.125,1.02,34.371727,26.614864,1.4424984,6.151035,6404830440.229431,91.49,0.098979995,0.04192,Germany,
2021-12-31,ADS.DE,EUR,24420932147.741318,12040253303.88546,12380678843.855858,10093157225.608826,2287521618.247032,2433582576.274872,12.535940492153168,127659577.48889923,3580218601.1075974,3579068514.8239136,2257619374.871254,1668552080.8861256,22133410529.494286,194178081.0,194172984.0,12.535940492153168,46045,Consumer Cyclical,Footwear & Accessories,40443042889.15039,45267777696.82031,1.125,1.02,34.371727,26.614864,1.4424984,6.151035,6404830440.229431,91.49,0.098979995,0.04192,Germany,
2024-11-30,ADBE,USD,21505000000.0,2358000000.0,19147000000.0,11406000000.0,7741000000.0,5560000000.0,12.36,169000000.0,8939000000.0,7957000000.0,7100000000.0,6345600000.0,13764000000.0,449700000.0,447100000.0,12.43,30709,Technology,Software - Application,162007138304.0,162171764736.0,1.545,,24.366665,18.497324,7.16814,14.211156,6562999808.0,57.329,0.35909998,0.30392,United States,3944000000.0
